"day","period","time","temperature","par"
115,5,"20:19",1.5,0
115,6,"22:19",0.1,0
116,1,"03:20",0.1,0
116,2,"05:20",3.6,344
116,3,"07:20",7,344
116,4,"18:22",7,344
116,5,"20:22",3.5,0
116,6,"22:22",0,0
117,1,"03:17",0,0
117,2,"05:17",4.3,347
117,3,"07:17",8.7,347
117,4,"18:25",8.7,347
117,5,"20:25",4.2,0
117,6,"22:25",-0.2,0
118,1,"03:14",-0.2,0
118,2,"05:14",4.2,350
118,3,"07:14",8.6,350
118,4,"18:28",8.6,350
118,5,"20:28",4.8,0
118,6,"22:28",1,0
119,1,"03:11",1,0
119,2,"05:11",4.5,353
119,3,"07:11",7.9,353
119,4,"18:31",7.9,353
119,5,"20:31",3.9,0
119,6,"22:31",-0.2,0
120,1,"03:07",-0.2,0
120,2,"05:07",5,356
120,3,"07:07",10.3,356
120,4,"18:33",10.3,356
120,5,"20:33",4.7,0
120,6,"22:33",-0.8,0
121,1,"03:04",-0.8,0
121,2,"05:04",4.2,360
121,3,"07:04",9.3,360
121,4,"18:36",9.3,360
121,5,"20:36",5,0
121,6,"22:36",0.6,0
122,1,"03:01",0.6,0
122,2,"05:01",4.8,363
122,3,"07:01",8.9,363
122,4,"18:39",8.9,363
122,5,"20:39",5.7,0
122,6,"22:39",2.4,0
123,1,"02:58",2.4,0
123,2,"04:58",5.7,366
123,3,"06:58",9.1,366
123,4,"18:42",9.1,366
123,5,"20:42",4.9,0
123,6,"22:42",0.7,0
124,1,"02:55",0.7,0
124,2,"04:55",6.6,369
124,3,"06:55",12.5,369
124,4,"18:45",12.5,369
124,5,"20:45",6.9,0
124,6,"22:45",1.4,0
125,1,"02:52",1.4,0
125,2,"04:52",3.6,373
125,3,"06:52",5.7,373
125,4,"18:48",5.7,373
125,5,"20:48",3.8,0
125,6,"22:48",1.9,0
126,1,"02:48",1.9,0
126,2,"04:48",3.5,376
126,3,"06:48",5,376
126,4,"18:50",5,376
126,5,"20:50",3.8,0
126,6,"22:50",2.6,0
127,1,"02:45",2.6,0
127,2,"04:45",4.3,379
127,3,"06:45",6,379
127,4,"18:53",6,379
127,5,"20:53",4.1,0
127,6,"22:53",2.2,0
128,1,"02:42",2.2,0
128,2,"04:42",7.5,382
128,3,"06:42",12.7,382
128,4,"18:56",12.7,382
128,5,"20:56",7.1,0
128,6,"22:56",1.6,0
129,1,"02:39",1.6,0
129,2,"04:39",7.3,385
129,3,"06:39",13.1,385
129,4,"18:59",13.1,385
129,5,"20:59",7.3,0
129,6,"22:59",1.5,0
130,1,"02:36",1.5,0
130,2,"04:36",6.9,388
130,3,"06:36",12.4,388
130,4,"19:02",12.4,388
130,5,"21:02",7.6,0
130,6,"23:02",2.9,0
131,1,"02:33",2.9,0
131,2,"04:33",6.7,391
131,3,"06:33",10.6,391
131,4,"19:05",10.6,391
131,5,"21:05",7,0
131,6,"23:05",3.4,0
132,1,"02:30",3.4,0
132,2,"04:30",6.1,394
132,3,"06:30",8.8,394
132,4,"19:08",8.8,394
132,5,"21:08",7.2,0
132,6,"23:08",5.7,0
133,1,"02:27",5.7,0
133,2,"04:27",11,398
133,3,"06:27",16.4,398
133,4,"19:11",16.4,398
133,5,"21:11",11.8,0
133,6,"23:11",7.2,0
134,1,"02:24",7.2,0
134,2,"04:24",12.8,401
134,3,"06:24",18.4,401
134,4,"19:13",18.4,401
134,5,"21:13",12.7,0
134,6,"23:13",7,0
135,1,"02:21",7,0
135,2,"04:21",14.3,404
135,3,"06:21",21.7,404
135,4,"19:16",21.7,404
135,5,"21:16",16.5,0
135,6,"23:16",11.4,0
136,1,"02:18",11.4,0
136,2,"04:18",17.5,407
136,3,"06:18",23.7,407
136,4,"19:19",23.7,407
136,5,"21:19",17.2,0
136,6,"23:19",10.7,0
137,1,"02:15",10.7,0
137,2,"04:15",17.5,410
137,3,"06:15",24.3,410
137,4,"19:22",24.3,410
137,5,"21:22",15.3,0
137,6,"23:22",6.2,0
138,1,"02:12",6.2,0
138,2,"04:12",12.9,413
138,3,"06:12",19.5,413
138,4,"19:25",19.5,413
138,5,"21:25",12.4,0
138,6,"23:25",5.2,0
139,1,"02:09",5.2,0
139,2,"04:09",11.8,416
139,3,"06:09",18.5,416
139,4,"19:28",18.5,416
139,5,"21:28",13.5,0
139,6,"23:28",8.5,0
140,1,"02:06",8.5,0
140,2,"04:06",13.1,419
140,3,"06:06",17.7,419
140,4,"19:31",17.7,419
140,5,"21:31",12,0
140,6,"23:31",6.3,0
141,1,"02:03",6.3,0
141,2,"04:03",11.7,422
141,3,"06:03",17.1,422
141,4,"19:33",17.1,422
141,5,"21:33",11.3,0
141,6,"23:33",5.5,0
142,1,"02:00",5.5,0
142,2,"04:00",8.5,425
142,3,"06:00",11.5,425
142,4,"19:36",11.5,425
142,5,"21:36",7.6,0
142,6,"23:36",3.7,0
143,1,"01:57",3.7,0
143,2,"03:57",8.5,428
143,3,"05:57",13.3,428
143,4,"19:39",13.3,428
143,5,"21:39",7.9,0
143,6,"23:39",2.6,0
144,1,"01:54",2.6,0
144,2,"03:54",8.1,431
144,3,"05:54",13.6,431
144,4,"19:42",13.6,431
144,5,"21:42",7.7,0
144,6,"23:42",1.8,0
145,1,"01:52",1.8,0
145,2,"03:52",7,434
145,3,"05:52",12.1,434
145,4,"19:45",12.1,434
145,5,"21:45",7.5,0
145,6,"23:45",2.8,0
146,1,"01:49",2.8,0
146,2,"03:49",8.9,437
146,3,"05:49",15.1,437
146,4,"19:47",15.1,437
146,5,"21:47",10,0
146,6,"23:47",4.9,0
147,1,"01:46",4.9,0
147,2,"03:46",6,440
147,3,"05:46",7.2,440
147,4,"19:50",7.2,440
147,5,"21:50",5.9,0
147,6,"23:50",4.5,0
148,1,"01:44",4.5,0
148,2,"03:44",8.2,443
148,3,"05:44",11.9,443
148,4,"19:53",11.9,443
148,5,"21:53",8.8,0
148,6,"23:53",5.8,0
149,1,"01:41",5.8,0
149,2,"03:41",10.5,445
149,3,"05:41",15.2,445
149,4,"19:56",15.2,445
149,5,"21:56",10,0
149,6,"23:56",4.7,0
150,1,"01:38",4.7,0
150,2,"03:38",10.9,448
150,3,"05:38",17.2,448
150,4,"19:58",17.2,448
150,5,"21:58",12,0
150,6,"23:58",6.9,0
151,1,"01:36",6.9,0
151,2,"03:36",8.2,451
151,3,"05:36",9.6,451
151,4,"20:01",9.6,451
151,5,"22:01",8.1,0
151,6,"00:01",6.7,0
152,1,"01:33",6.7,0
152,2,"03:33",9.5,454
152,3,"05:33",12.3,454
152,4,"20:04",12.3,454
152,5,"22:04",10.2,0
152,6,"00:04",8.1,0
153,1,"01:31",8.1,0
153,2,"03:31",11.6,457
153,3,"05:31",15.1,457
153,4,"20:06",15.1,457
153,5,"22:06",10.6,0
153,6,"00:06",6.2,0
154,1,"01:28",6.2,0
154,2,"03:28",9.4,459
154,3,"05:28",12.6,459
154,4,"20:09",12.6,459
154,5,"22:09",9.8,0
154,6,"00:09",6.9,0
