"tub","pos","trt","climate","soil","sterile","tea","genotype"
17,4,3,"it","it",1,"it","It15"
17,5,3,"it","it",1,"it","Sw43"
17,6,3,"it","it",1,"it","Sw7"
17,7,3,"it","it",1,"it","Sw11"
17,8,3,"it","it",1,"it","It32"
30,1,4,"it","it",1,"sw","Sw7"
30,2,4,"it","it",1,"sw","It41"
30,3,4,"it","it",1,"sw","It15"
30,4,4,"it","it",1,"sw","Sw43"
30,5,4,"it","it",1,"sw","Sw47"
30,6,4,"it","it",1,"sw","It32"
30,7,4,"it","it",1,"sw","It24"
30,8,4,"it","it",1,"sw","Sw11"
16,1,4,"it","it",1,"sw","It15"
16,2,4,"it","it",1,"sw","Sw43"
16,3,4,"it","it",1,"sw","Sw11"
16,4,4,"it","it",1,"sw","Sw47"
16,5,4,"it","it",1,"sw","Sw7"
16,6,4,"it","it",1,"sw","It41"
16,7,4,"it","it",1,"sw","It32"
16,8,4,"it","it",1,"sw","It24"
45,1,4,"it","it",1,"sw","Sw7"
45,2,4,"it","it",1,"sw","It24"
45,3,4,"it","it",1,"sw","Sw47"
45,4,4,"it","it",1,"sw","Sw11"
45,5,4,"it","it",1,"sw","It41"
45,6,4,"it","it",1,"sw","It15"
45,7,4,"it","it",1,"sw","Sw43"
45,8,4,"it","it",1,"sw","It32"
53,1,4,"it","it",1,"sw","It15"
53,2,4,"it","it",1,"sw","Sw43"
53,3,4,"it","it",1,"sw","It24"
53,4,4,"it","it",1,"sw","It32"
53,5,4,"it","it",1,"sw","Sw7"
53,6,4,"it","it",1,"sw","Sw11"
53,7,4,"it","it",1,"sw","It41"
53,8,4,"it","it",1,"sw","Sw47"
28,1,4,"it","it",1,"sw","It15"
28,2,4,"it","it",1,"sw","It41"
28,3,4,"it","it",1,"sw","Sw7"
28,4,4,"it","it",1,"sw","It32"
28,5,4,"it","it",1,"sw","It24"
28,6,4,"it","it",1,"sw","Sw11"
28,7,4,"it","it",1,"sw","Sw43"
28,8,4,"it","it",1,"sw","Sw47"
65,1,4,"it","it",1,"sw","It41"
65,2,4,"it","it",1,"sw","Sw7"
65,3,4,"it","it",1,"sw","Sw47"
65,4,4,"it","it",1,"sw","It15"
65,5,4,"it","it",1,"sw","It32"
65,6,4,"it","it",1,"sw","Sw11"
65,7,4,"it","it",1,"sw","Sw43"
65,8,4,"it","it",1,"sw","It24"
5,1,4,"it","it",1,"sw","Sw11"
5,2,4,"it","it",1,"sw","Sw47"
5,3,4,"it","it",1,"sw","It15"
5,4,4,"it","it",1,"sw","Sw7"
5,5,4,"it","it",1,"sw","It41"
5,6,4,"it","it",1,"sw","It32"
5,7,4,"it","it",1,"sw","Sw43"
5,8,4,"it","it",1,"sw","It24"
21,1,4,"it","it",1,"sw","It15"
21,2,4,"it","it",1,"sw","Sw11"
21,3,4,"it","it",1,"sw","Sw47"
21,4,4,"it","it",1,"sw","It32"
21,5,4,"it","it",1,"sw","It24"
21,6,4,"it","it",1,"sw","Sw43"
21,7,4,"it","it",1,"sw","Sw7"
21,8,4,"it","it",1,"sw","It41"
68,1,5,"it","sw",0,"none","Sw7"
68,2,5,"it","sw",0,"none","Sw11"
68,3,5,"it","sw",0,"none","It41"
68,4,5,"it","sw",0,"none","Sw43"
68,5,5,"it","sw",0,"none","It15"
68,6,5,"it","sw",0,"none","It24"
68,7,5,"it","sw",0,"none","Sw47"
68,8,5,"it","sw",0,"none","It32"
85,1,5,"it","sw",0,"none","Sw11"
85,2,5,"it","sw",0,"none","It15"
85,3,5,"it","sw",0,"none","It24"
85,4,5,"it","sw",0,"none","It32"
85,5,5,"it","sw",0,"none","Sw47"
85,6,5,"it","sw",0,"none","Sw43"
85,7,5,"it","sw",0,"none","Sw7"
85,8,5,"it","sw",0,"none","It41"
74,1,5,"it","sw",0,"none","It41"
74,2,5,"it","sw",0,"none","Sw7"
74,3,5,"it","sw",0,"none","Sw43"
74,4,5,"it","sw",0,"none","It15"
74,5,5,"it","sw",0,"none","It32"
74,6,5,"it","sw",0,"none","Sw11"
74,7,5,"it","sw",0,"none","Sw47"
74,8,5,"it","sw",0,"none","It24"
46,1,5,"it","sw",0,"none","Sw7"
46,2,5,"it","sw",0,"none","It32"
46,3,5,"it","sw",0,"none","Sw43"
46,4,5,"it","sw",0,"none","Sw47"
46,5,5,"it","sw",0,"none","Sw11"
46,6,5,"it","sw",0,"none","It15"
46,7,5,"it","sw",0,"none","It41"
46,8,5,"it","sw",0,"none","It24"
40,1,5,"it","sw",0,"none","It32"
40,2,5,"it","sw",0,"none","Sw11"
40,3,5,"it","sw",0,"none","Sw43"
40,4,5,"it","sw",0,"none","Sw7"
40,5,5,"it","sw",0,"none","It41"
40,6,5,"it","sw",0,"none","Sw47"
40,7,5,"it","sw",0,"none","It15"
40,8,5,"it","sw",0,"none","It24"
63,1,5,"it","sw",0,"none","Sw7"
63,2,5,"it","sw",0,"none","It15"
63,3,5,"it","sw",0,"none","It41"
63,4,5,"it","sw",0,"none","Sw47"
63,5,5,"it","sw",0,"none","Sw11"
63,6,5,"it","sw",0,"none","It24"
63,7,5,"it","sw",0,"none","Sw43"
63,8,5,"it","sw",0,"none","It32"
42,1,5,"it","sw",0,"none","Sw11"
42,2,5,"it","sw",0,"none","It24"
42,3,5,"it","sw",0,"none","Sw43"
42,4,5,"it","sw",0,"none","It41"
42,5,5,"it","sw",0,"none","It15"
42,6,5,"it","sw",0,"none","Sw47"
42,7,5,"it","sw",0,"none","Sw7"
42,8,5,"it","sw",0,"none","It32"
79,1,5,"it","sw",0,"none","It32"
79,2,5,"it","sw",0,"none","It24"
79,3,5,"it","sw",0,"none","Sw11"
79,4,5,"it","sw",0,"none","It41"
79,5,5,"it","sw",0,"none","Sw43"
79,6,5,"it","sw",0,"none","It15"
79,7,5,"it","sw",0,"none","Sw47"
79,8,5,"it","sw",0,"none","Sw7"
72,1,6,"it","sw",1,"none","Sw7"
72,2,6,"it","sw",1,"none","It41"
72,3,6,"it","sw",1,"none","It15"
72,4,6,"it","sw",1,"none","Sw11"
72,5,6,"it","sw",1,"none","Sw47"
72,6,6,"it","sw",1,"none","It24"
72,7,6,"it","sw",1,"none","It32"
72,8,6,"it","sw",1,"none","Sw43"
82,1,6,"it","sw",1,"none","It41"
82,2,6,"it","sw",1,"none","Sw47"
82,3,6,"it","sw",1,"none","Sw43"
82,4,6,"it","sw",1,"none","Sw7"
82,5,6,"it","sw",1,"none","It15"
82,6,6,"it","sw",1,"none","It24"
82,7,6,"it","sw",1,"none","It32"
82,8,6,"it","sw",1,"none","Sw11"
61,1,6,"it","sw",1,"none","It32"
61,2,6,"it","sw",1,"none","It24"
61,3,6,"it","sw",1,"none","Sw43"
61,4,6,"it","sw",1,"none","Sw11"
61,5,6,"it","sw",1,"none","Sw7"
61,6,6,"it","sw",1,"none","Sw47"
61,7,6,"it","sw",1,"none","It15"
61,8,6,"it","sw",1,"none","It41"
81,1,6,"it","sw",1,"none","It32"
81,2,6,"it","sw",1,"none","It41"
81,3,6,"it","sw",1,"none","Sw11"
81,4,6,"it","sw",1,"none","Sw43"
81,5,6,"it","sw",1,"none","Sw47"
81,6,6,"it","sw",1,"none","It24"
81,7,6,"it","sw",1,"none","It15"
81,8,6,"it","sw",1,"none","Sw7"
52,1,6,"it","sw",1,"none","Sw47"
