SampleID	Chamber	Soil	Wash	Genotype	Parentalline	Planted	Treatment	Fraction	Incubationtime	Replicate	Library	Microbe	Condition	Condition_microbe	Microbe_planted	Changed_chamber	Changed_soil	Changed_both	Changed_genotype
I.118.S	Swedish	Italian	None	Italian	Deadplant	Planted	First	Soil	8months	2	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Italian	yes	no	no	no
I.119.S	Swedish	Swedish	None	Italian	Deadplant	Planted	First	Soil	8months	2	8	Swedish	Control	Control_Swedish	Swedish_Italian	no	no	no	no
I.120.S	Swedish	Italian	None	Italian	Deadplant	Planted	First	Soil	8months	3	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Italian	yes	no	no	no
I.124.S	Swedish	Swedish	Italian	Italian	Deadplant	Planted	Fourth	Soil	8months	2	8	Italian	Changed_soil_climate	Changed_soil_climate_Italian	Italian_Italian	yes	yes	yes	no
I.128.S	Swedish	Swedish	Swedish	Italian	Deadplant	Planted	Third	Soil	8months	1	8	Swedish	Repopulated	Repopulated_Swedish	Swedish_Italian	no	no	no	yes
I.136.S	Swedish	Swedish	None	Italian	Deadplant	Planted	First	Soil	8months	3	8	Swedish	Control	Control_Swedish	Swedish_Italian	no	no	no	no
I.144.S	Swedish	Swedish	Swedish	Italian	Deadplant	Planted	Third	Soil	8months	2	8	Swedish	Repopulated	Repopulated_Swedish	Swedish_Italian	no	no	no	yes
I.150.S	Swedish	Swedish	Italian	Italian	Deadplant	Planted	Fourth	Soil	8months	1	8	Italian	Changed_soil_climate	Changed_soil_climate_Italian	Italian_Italian	yes	yes	yes	no
I.16.R	Italian	Swedish	Italian	Italian	It24	Planted	Fourth	Root	6months	1	8	Italian	Changed_soil	Changed_soil_Italian	Italian_Italian	no	yes	no	no
I.16.S	Italian	Swedish	Italian	Italian	It24	Planted	Fourth	Soil	6months	1	6	Italian	Changed_soil	Changed_soil_Italian	Italian_Italian	no	yes	no	no
I.169.S	Swedish	Italian	Swedish	Italian	Deadplant	Planted	Fourth	Soil	8months	3	8	Swedish	Changed_soil	Changed_soil_Swedish	Swedish_Italian	no	yes	no	yes
I.175.S	Swedish	Swedish	Swedish	Italian	Deadplant	Planted	Third	Soil	8months	3	8	Swedish	Repopulated	Repopulated_Swedish	Swedish_Italian	no	no	no	yes
I.21.R	Italian	Swedish	Swedish	Italian	It32	Planted	Third	Root	6months	3	8	Swedish	Repopulated_changed_climate	Repopulated_changed_climate_Swedish	Swedish_Italian	no	no	no	yes
I.24.R	Italian	Italian	Swedish	Italian	It41	Planted	Fourth	Root	6months	1	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
I.24.S	Italian	Italian	Swedish	Italian	It41	Planted	Fourth	Soil	6months	1	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
I.25.R	Italian	Swedish	None	Italian	It24	Planted	First	Root	6months	1	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
I.25.S	Italian	Swedish	None	Italian	It24	Planted	First	Soil	6months	1	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
I.27.R	Italian	Swedish	None	Italian	It32	Planted	First	Root	6months	2	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
I.27.S	Italian	Swedish	None	Italian	It32	Planted	First	Soil	6months	2	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
I.29.R	Italian	Italian	Italian	Italian	It32	Planted	Third	Root	6months	3	5	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
I.29.S	Italian	Italian	Italian	Italian	It32	Planted	Third	Soil	6months	3	5	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
I.32.R	Italian	Italian	None	Italian	It24	Planted	First	Root	6months	1	5	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
I.32.S	Italian	Italian	None	Italian	It24	Planted	First	Soil	6months	1	5	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
I.33.R	Italian	Italian	None	Italian	It32	Planted	First	Root	6months	2	5	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
I.33.S	Italian	Italian	None	Italian	It32	Planted	First	Soil	6months	2	5	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
I.41.R	Italian	Swedish	Italian	Italian	It24	Planted	Fourth	Root	6months	2	6	Italian	Changed_soil	Changed_soil_Italian	Italian_Italian	no	yes	no	no
I.41.S	Italian	Swedish	Italian	Italian	It24	Planted	Fourth	Soil	6months	2	6	Italian	Changed_soil	Changed_soil_Italian	Italian_Italian	no	yes	no	no
I.48.R	Italian	Italian	Swedish	Italian	It24	Planted	Fourth	Root	6months	2	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
I.48.S	Italian	Italian	Swedish	Italian	It24	Planted	Fourth	Soil	6months	2	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
I.49.R	Italian	Italian	None	Italian	It32	Planted	First	Root	6months	3	5	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
I.49.S	Italian	Italian	None	Italian	It32	Planted	First	Soil	6months	3	5	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
I.5.R	Italian	Italian	Italian	Italian	It32	Planted	Third	Root	6months	1	5	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
I.5.S	Italian	Italian	Italian	Italian	It32	Planted	Third	Soil	6months	1	5	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
I.62.R	Italian	Italian	Swedish	Italian	It24	Planted	Fourth	Root	6months	3	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
I.62.S	Italian	Italian	Swedish	Italian	It24	Planted	Fourth	Soil	6months	3	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Italian	yes	yes	yes	yes
I.67.R	Italian	Swedish	Italian	Italian	It32	Planted	Fourth	Root	6months	3	6	Italian	Changed_soil	Changed_soil_Italian	Italian_Italian	no	yes	no	no
