order	SampleID	Climate	Soil	Line	Line2	Fraction	Replicate	Soil_Fraction	ChangedConditions	Climate_soil	Line_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
36	Italy.Soil.It.It41.3.ITS1	Italian	Italian	Italian	Italian	Soil	12	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	165
37	Italy.Soil.It.Sw11.1.ITS1	Italian	Italian	Swedish	Swedish	Soil	1	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	166
38	Italy.Soil.It.Sw11.2.ITS1	Italian	Italian	Swedish	Swedish	Soil	2	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	245
39	Italy.Soil.It.Sw11.3.ITS1	Italian	Italian	Swedish	Swedish	Soil	3	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	162
40	Italy.Soil.It.Sw43.1.ITS1	Italian	Italian	Swedish	Swedish	Soil	4	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	192
41	Italy.Soil.It.Sw43.2.ITS1	Italian	Italian	Swedish	Swedish	Soil	5	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	212
42	Italy.Soil.It.Sw43.3.ITS1	Italian	Italian	Swedish	Swedish	Soil	6	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	165
43	Italy.Soil.It.Sw47.1.ITS1	Italian	Italian	Swedish	Swedish	Soil	7	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	164
44	Italy.Soil.It.Sw47.2.ITS1	Italian	Italian	Swedish	Swedish	Soil	8	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	179
45	Italy.Soil.It.Sw47.3.ITS1	Italian	Italian	Swedish	Swedish	Soil	9	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	149
46	Italy.Soil.It.Sw7.1.ITS1	Italian	Italian	Swedish	Swedish	Soil	10	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	174
47	Italy.Soil.It.Sw7.2.ITS1	Italian	Italian	Swedish	Swedish	Soil	11	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	108
48	Italy.Soil.It.Sw7.3.ITS1	Italian	Italian	Swedish	Swedish	Soil	12	Italian_Soil	Genotype	Italian_Italian	Swedish_Soil	Run1	yes	no	yes	no	151
76	Italy.Soil.Sw.It15.1.ITS1	Italian	Swedish	Italian	Italian	Soil	1	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	159
77	Italy.Soil.Sw.It15.2.ITS1	Italian	Swedish	Italian	Italian	Soil	2	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	214
78	Italy.Soil.Sw.It15.3.ITS1	Italian	Swedish	Italian	Italian	Soil	3	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	155
79	Italy.Soil.Sw.It24.1.ITS1	Italian	Swedish	Italian	Italian	Soil	4	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	230
80	Italy.Soil.Sw.It24.2.ITS1	Italian	Swedish	Italian	Italian	Soil	5	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	231
81	Italy.Soil.Sw.It24.3.ITS1	Italian	Swedish	Italian	Italian	Soil	6	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	234
82	Italy.Soil.Sw.It32.1.ITS1	Italian	Swedish	Italian	Italian	Soil	7	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	199
83	Italy.Soil.Sw.It32.2.ITS1	Italian	Swedish	Italian	Italian	Soil	8	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	141
84	Italy.Soil.Sw.It32.3.ITS1	Italian	Swedish	Italian	Italian	Soil	9	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	255
85	Italy.Soil.Sw.It41.1.ITS1	Italian	Swedish	Italian	Italian	Soil	10	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	185
86	Italy.Soil.Sw.It41.2.ITS1	Italian	Swedish	Italian	Italian	Soil	11	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	233
87	Italy.Soil.Sw.It41.3.ITS1	Italian	Swedish	Italian	Italian	Soil	12	Swedish_Soil	Climate_Genotype	Italian_Swedish	Italian_Soil	Run1	yes	no	no	yes	256
88	Italy.Soil.Sw.Sw11.1.ITS1	Italian	Swedish	Swedish	Swedish	Soil	1	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	185
89	Italy.Soil.Sw.Sw11.2.ITS1	Italian	Swedish	Swedish	Swedish	Soil	2	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	249
90	Italy.Soil.Sw.Sw11.3.ITS1	Italian	Swedish	Swedish	Swedish	Soil	3	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	227
91	Italy.Soil.Sw.Sw43.1.ITS1	Italian	Swedish	Swedish	Swedish	Soil	4	Swedish_Soil	Climate	Italian_Swedish	Swedish_Soil	Run1	yes	yes	no	no	180
