order	SampleID	Observed_otus	Climate	Soil	Line	Line2	Fraction	Parentalline	Replicate	ChangedConditions	Soil_line	Climate_soil	Line_Fraction	Soil_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
116	Sweden.Soil.It.Sw.2.V5	224	Swedish	Italian	Swedish	Swedish	Soil	Swedish	2	Climate_Genotype	Italian_Swedish	Swedish_Italian	Swedish_Soil	Italian_Soil	Run2	yes	no	no	yes	440
117	Sweden.Soil.It.Sw.3.V5	176	Swedish	Italian	Swedish	Swedish	Soil	Swedish	3	Climate_Genotype	Italian_Swedish	Swedish_Italian	Swedish_Soil	Italian_Soil	Run2	yes	no	no	yes	364
118	Sweden.Soil.It.Sw.4.V5	189	Swedish	Italian	Swedish	Swedish	Soil	Swedish	4	Climate_Genotype	Italian_Swedish	Swedish_Italian	Swedish_Soil	Italian_Soil	Run2	yes	no	no	yes	377
119	Sweden.Soil.It.Sw.5.V5	210	Swedish	Italian	Swedish	Swedish	Soil	Swedish	5	Climate_Genotype	Italian_Swedish	Swedish_Italian	Swedish_Soil	Italian_Soil	Run2	yes	no	no	yes	432
120	Sweden.Soil.It.Sw.6.V5	203	Swedish	Italian	Swedish	Swedish	Soil	Swedish	6	Climate_Genotype	Italian_Swedish	Swedish_Italian	Swedish_Soil	Italian_Soil	Run2	yes	no	no	yes	420
136	Sweden.Soil.Sw.Sw.1.V5	158	Swedish	Swedish	Swedish	Swedish	Soil	Swedish	7	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Soil	Run2	no	no	no	no	369
137	Sweden.Soil.Sw.Sw.2.V5	188	Swedish	Swedish	Swedish	Swedish	Soil	Swedish	8	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Soil	Run2	no	no	no	no	389
138	Sweden.Soil.Sw.Sw.3.V5	157	Swedish	Swedish	Swedish	Swedish	Soil	Swedish	9	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Soil	Run2	no	no	no	no	336
139	Sweden.Soil.Sw.Sw.4.V5	165	Swedish	Swedish	Swedish	Swedish	Soil	Swedish	10	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Soil	Run2	no	no	no	no	339
140	Sweden.Soil.Sw.Sw.5.V5	155	Swedish	Swedish	Swedish	Swedish	Soil	Swedish	11	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Soil	Run2	no	no	no	no	315
141	Sweden.Soil.Sw.Sw.6.V5	172	Swedish	Swedish	Swedish	Swedish	Soil	Swedish	12	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Soil	Run2	no	no	no	no	327
121	Sweden.Soil.Unplanted.It.1.V5	242	Swedish	Italian	Unplanted	Unplanted	Soil	Unplanted	1	Climate	Italian_Unplanted	Swedish_Italian	Unplanted_Italian_Soil	Italian_Soil	Run2	yes	yes	no	no	476
122	Sweden.Soil.Unplanted.It.2.V5	210	Swedish	Italian	Unplanted	Unplanted	Soil	Unplanted	2	Climate	Italian_Unplanted	Swedish_Italian	Unplanted_Italian_Soil	Italian_Soil	Run2	yes	yes	no	no	458
123	Sweden.Soil.Unplanted.It.3.V5	181	Swedish	Italian	Unplanted	Unplanted	Soil	Unplanted	3	Climate	Italian_Unplanted	Swedish_Italian	Unplanted_Italian_Soil	Italian_Soil	Run2	yes	yes	no	no	363
142	Sweden.Soil.Unplanted.Sw.1.V5	167	Swedish	Swedish	Unplanted	Unplanted	Soil	Unplanted	1	Control	Swedish_Unplanted	Swedish_Swedish	Unplanted_Swedish_Soil	Swedish_Soil	Run2	no	no	no	no	341
143	Sweden.Soil.Unplanted.Sw.2.V5	147	Swedish	Swedish	Unplanted	Unplanted	Soil	Unplanted	2	Control	Swedish_Unplanted	Swedish_Swedish	Unplanted_Swedish_Soil	Swedish_Soil	Run2	no	no	no	no	324
144	Sweden.Soil.Unplanted.Sw.3.V5	171	Swedish	Swedish	Unplanted	Unplanted	Soil	Unplanted	3	Control	Swedish_Unplanted	Swedish_Swedish	Unplanted_Swedish_Soil	Swedish_Soil	Run2	no	no	no	no	386
